LOG CRIADO EM: 1/10/2014 21:20:21
ENVIANDO PROGRAMAÇÃO:
023101F291FFFFF29100000000FFFFFFFB7F0334 --><-- ACK
023201F292FFFFF29200000000FFFFFFFB7F0337 --><-- ACK
023301F293FFFFF29300000000FFFFFFFB7F0336 --><-- ACK
023401F294FFFFF29400000000FFFFFFFB7F0331 --><-- ACK
023501F295FFFFF29500000000FFFFFFFB7F0330 --><-- ACK
023601F296FFFFF29600000000FFFFFFFB7F0333 --><-- ACK
023701F297FFFFF29700000000FFFFFFFB7F0332 --><-- ACK
023801F298FFFFF29800000000FFFFFFFB7F033D --><-- ACK
023901F299FFFFF29900000000FFFFFFFB7F033C --><-- ACK
023A01F300FFFFF30000000000FFFFFFFB7F033F --><-- ACK
023B01F301FFFFF30100000000FFFFFFFB7F033E --><-- ACK
023C01F302FFFFF30200000000FFFFFFFB7F0339 --><-- ACK
023D01F303FFFFF30300000000FFFFFFFB7F0338 --><-- ACK
023E01F304FFFFF30400000000FFFFFFFB7F033B --><-- ACK
023F01F305FFFFF30500000000FFFFFFFB7F033A --><-- ACK
024001F306FFFFF30600000000FFFFFFFB7F0345 --><-- ACK
024101F307FFFFF30700000000FFFFFFFB7F0344 --><-- ACK
024201F308FFFFF30800000000FFFFFFFB7F0347 --><-- ACK
024301F309FFFFF30900000000FFFFFFFB7F0346 --><-- ACK
024401F310FFFFF31000000000FFFFFFFB7F0341 --><-- ACK
024501F311FFFFF31100000000FFFFFFFB7F0340 --><-- ACK
024601F312FFFFF31200000000FFFFFFFB7F0343 --><-- ACK
024701F313FFFFF31300000000FFFFFFFB7F0342 --><-- ACK
024801F314FFFFF31400000000FFFFFFFB7F034D --><-- ACK
024901F315FFFFF31500000000FFFFFFFB7F034C --><-- ACK
024A01F316FFFFF31600000000FFFFFFFB7F034F --><-- ACK
024B01F317FFFFF31700000000FFFFFFFB7F034E --><-- ACK
024C01F318FFFFF31800000000FFFFFFFB7F0349 --><-- ACK
024D01F319FFFFF31900000000FFFFFFFB7F0348 --><-- ACK
024E01F320FFFFF32000000000FFFFFFFB7F034B --><-- ACK
024F01F321FFFFF32100000000FFFFFFFB7F034A --><-- ACK
025001F322FFFFF32200000000FFFFFFFB7F0355 --><-- ACK
025101F323FFFFF32300000000FFFFFFFB7F0354 --><-- ACK
025201F324FFFFF32400000000FFFFFFFB7F0357 --><-- ACK
025301F325FFFFF32500000000FFFFFFFB7F0356 --><-- ACK
025401F326FFFFF32600000000FFFFFFFB7F0351 --><-- ACK
025501F327FFFFF32700000000FFFFFFFB7F0350 --><-- ACK
025601F328FFFFF32800000000FFFFFFFB7F0353 --><-- ACK
025701F329FFFFF32900000000FFFFFFFB7F0352 --><-- ACK
025801F330FFFFF33000000000FFFFFFFB7F035D --><-- ACK
025901F331FFFFF33100000000FFFFFFFB7F035C --><-- ACK
025A01F332FFFFF33200000000FFFFFFFB7F035F --><-- ACK
025B01F333FFFFF33300000000FFFFFFFB7F035E --><-- ACK
025C01F334FFFFF33400000000FFFFFFFB7F0359 --><-- ACK
025D01F335FFFFF33500000000FFFFFFFB7F0358 --><-- TIMEOUT

